date,ic,pval,n_symbols
2019-02-01,-0.007466078921035805,0.8446827093795365,691
2019-03-01,0.07248168610591725,0.056861608617294446,691
2019-04-01,0.0159281603209964,0.6759689890501472,691
2019-05-01,-0.11670203341051104,0.002074386753505487,694
2019-06-03,-0.13111965726900937,0.0005343176150263583,694
2019-07-01,0.03290926453415015,0.3860076129571405,696
2019-08-01,-0.07291046417092702,0.05181539692083084,712
2019-09-03,0.08147802197292867,0.029597784837166383,713
2019-10-01,0.008894490327286909,0.8123289208370871,715
2019-11-01,-0.0878665802963088,0.01852845325856235,718
2019-12-02,-0.057823831964696426,0.12109890111880643,720
2020-01-02,0.2264190651012394,7.380271591426364e-10,723
2020-02-03,0.1940867130929307,1.386019896662282e-07,725
2020-03-02,0.27644127392985846,2.9683995314187123e-14,729
2020-04-01,-0.36537684184466934,2.2189534988471446e-24,727
2020-05-01,-0.08327107592502052,0.02455280995080353,729
2020-06-01,0.08775392339141556,0.01733006479066652,735
2020-07-01,0.19883650771496797,5.231974565123453e-08,737
2020-08-03,-0.004451236642151517,0.9038489375898913,739
2020-09-01,0.1499574064972263,4.262158887078201e-05,739
2020-10-01,-0.12968913323306988,0.0003975546410850194,742
2020-11-02,-0.4002564481005434,6.395810877322921e-30,742
2020-12-01,0.011099015506493892,0.7624683063159017,744
2021-01-04,0.026621353724157464,0.4672294679741611,748
2021-02-01,-0.3488504744293639,7.4069795657115e-23,749
2021-03-01,-0.31703365819763,5.978022420306115e-19,749
2021-04-01,0.09092723040236372,0.012036593105772413,762
2021-05-03,0.04703632737979192,0.19404688084880772,764
2021-06-01,-0.23991166075248205,1.67324451418693e-11,767
2021-07-01,0.060509226225659914,0.0935856469206524,769
2021-08-02,0.051994919796293435,0.14893359578564327,772
2021-09-01,-0.012391980172330966,0.7310229726311912,772
2021-10-01,0.11150608056368788,0.0019167007978838169,772
2021-11-01,0.24329131640072776,6.4261001686355875e-12,776
2021-12-01,-0.09320202727228506,0.00938288073719588,776
2022-01-03,0.06660457010309656,0.06299226957140298,780
2022-02-01,0.19685931440504406,3.0881716392929194e-08,778
2022-03-01,0.16590589995489163,3.2336505409699173e-06,779
2022-04-01,0.19681934039244017,3.045791119791463e-08,779
2022-05-02,0.24502962214615479,4.225081055608633e-12,778
2022-06-01,-0.015236879713101862,0.6717184374188381,776
2022-07-01,-0.2622326388161575,1.0611030022284778e-13,778
2022-08-01,0.19677501895591798,3.067991785265203e-08,779
2022-09-01,0.1996123331274645,2.0452907231539856e-08,776
2022-10-03,0.10242422258340012,0.00426361441532636,777
2022-11-01,-0.0704529071805427,0.04977815255415279,776
2023-02-01,0.24899382672317502,2.1103663550086056e-12,774
2023-03-01,0.10245124789220307,0.004379007788606245,772
2023-04-03,0.180941015021611,4.096909151429277e-07,773
2023-05-01,0.02112545862303272,0.557564087855381,773
2023-06-01,-0.058713620686439004,0.1028537654134068,773
2023-07-03,-0.15125039734938361,2.443390350856397e-05,772
2023-08-01,0.23760209316399197,2.2772612308435457e-11,772
2023-09-01,0.2522720694554502,1.1711266547012123e-12,771
2023-10-02,0.2579109869198063,3.636924488202122e-13,770
2023-11-01,-0.22007717397367765,7.058996915145591e-10,768
2024-02-01,0.15521208272865175,1.6171686582637008e-05,765
2024-03-01,0.04338652684638649,0.23190495088435387,761
2024-04-01,-0.004698215371947722,0.8970461262158184,761
2024-05-01,0.03914376095960267,0.28177873000276643,758
2024-06-03,0.17384448378325987,1.5192624410129293e-06,756
2024-07-01,-0.16611745090185748,4.523394812277071e-06,754
2024-08-01,0.20312418343736988,1.9138193019018098e-08,752
2024-09-03,-0.019776333824593463,0.5886821603233985,750
2024-10-01,-0.02241562741348984,0.5401936282879236,749
