date,ic,pval,n_symbols
2019-02-01,0.01892692019817591,0.619673907343558,690
2019-03-01,0.006401565966857126,0.8666035385622521,691
2019-04-01,0.002988545403919919,0.9375412878063532,690
2019-05-01,0.007760144848891157,0.8385320223554888,692
2019-06-03,-0.043106373507395435,0.2571097357409099,693
2019-07-01,0.09306627308611376,0.014042426469713737,696
2019-08-01,-0.07208820292282216,0.0545208276975298,712
2019-09-03,0.12089692709269281,0.0012189705603057965,713
2019-10-01,0.017857680641279353,0.6338086261707732,714
2019-11-01,-0.021331147756430007,0.568779322701032,716
2019-12-02,0.07608327748097468,0.041398398224237326,719
2020-01-02,0.19437494876067024,1.3809842065579367e-07,723
2020-02-03,0.20769555515999974,1.734716689410194e-08,723
2020-03-02,0.21010222093473138,1.0955459059680944e-08,726
2020-04-01,-0.29666061773797625,3.394684809772989e-16,725
2020-05-01,0.11622471075321449,0.0016827051359227525,728
2020-06-01,0.1134876805269283,0.002089091118541308,733
2020-07-01,0.18009693650709147,8.60062987804879e-07,737
2020-08-03,-0.017813369178100686,0.6289971848211704,738
2020-09-01,-0.24607614822829835,1.2570646618792831e-11,737
2020-10-01,-0.3165984795640803,1.0860409484283222e-18,740
2020-11-02,-0.2779502496483629,1.3008280628401077e-14,741
2020-12-01,-0.2749257849865841,2.4660484752829826e-14,742
2021-01-04,-0.28259104575029054,3.5001369132088987e-15,747
2021-02-01,-0.32338276347072387,1.0795510250816119e-19,749
2021-03-01,-0.1672914616993781,4.159666181151635e-06,749
2021-04-01,0.03185172354606984,0.3799299300093911,762
2021-05-03,-0.04189073679330035,0.24747882068577204,764
2021-06-01,-0.14579696058190159,5.058611179249354e-05,767
2021-07-01,0.10315381546282067,0.0041894681549470725,769
2021-08-02,0.05549443851012447,0.12414900260817845,769
2021-09-01,0.1531281948143765,2.027324619260146e-05,768
2021-10-01,0.14711064390362077,4.218636477598662e-05,769
2021-11-01,0.10346098110502462,0.003981939899584597,773
2021-12-01,-0.061196567325509044,0.08887088989085201,774
2022-01-03,-0.00122582613812884,0.9727682402263191,778
2022-02-01,0.17577753586610764,8.077732223102291e-07,778
2022-03-01,0.3432768841814402,6.993701903808397e-23,776
2022-04-01,0.09050249546425136,0.01166162984817212,776
2022-05-02,0.041692533404032624,0.24572266743451215,777
2022-06-01,-0.0008147783871096142,0.9819210721620737,776
2022-07-01,0.060898426016492445,0.0898161522871015,777
2022-08-01,0.24724250650291435,2.94160322230587e-12,775
2022-09-01,0.14472599944890674,5.377847197699919e-05,773
2022-11-01,-0.2596752050863635,2.1524693672125418e-13,774
2022-12-01,-0.15537539370124434,1.4479952019680152e-05,772
2023-02-01,0.24194075188308004,9.566989862926122e-12,772
2023-04-03,0.019599949723001067,0.5863689368756433,773
2023-05-01,-0.16010022315741962,7.928057323675614e-06,771
2023-06-01,-0.11340281057484156,0.001622336002592505,770
2023-07-03,0.06129898628679513,0.0893746994800733,769
2023-08-01,0.27203628974891875,1.569075705270103e-14,770
2023-09-01,0.16347851919135065,5.270068782396127e-06,768
2023-10-02,-0.15075003408615734,2.763143239431855e-05,767
2023-11-01,-0.18172503978324117,4.1150762466028253e-07,766
2023-12-01,0.22436682721468054,3.389491665902252e-10,766
2024-02-01,0.12079580981902124,0.0008406323164176113,761
2024-03-01,-0.011831123913341348,0.7451881445098336,757
2024-04-01,0.04188061680489435,0.2497780163016704,757
2024-05-01,-0.05843103598744656,0.1088972818782363,754
2024-06-03,-0.03478270390122655,0.34082605626893925,752
2024-07-01,-0.054344335212624315,0.13677946383532635,751
2024-08-01,0.15786079121538163,1.4226265858139057e-05,749
2024-09-03,0.0159083668763454,0.6642189496794154,747
2024-10-01,-0.024837029297387684,0.49790099862198856,747
